year,stock,commonname,model
1986,NA,Argentine hake,Reed
1987,232453.69127516777,Argentine hake,Reed
1988,64570.469798657716,Argentine hake,Reed
1989,103312.75167785234,Argentine hake,Reed
1990,129140.93959731543,Argentine hake,Reed
1991,154969.1275167785,Argentine hake,Reed
1992,90398.65771812081,Argentine hake,Reed
1993,0,Argentine hake,Reed
1994,12914.093959731543,Argentine hake,Reed
1995,64570.469798657716,Argentine hake,Reed
1996,51656.37583892617,Argentine hake,Reed
1999,0,Argentine hake,Reed
2e3,0,Argentine hake,Reed
2006,0,Argentine hake,Reed
2007,0,Argentine hake,Reed
1957,NA,European Plaice,Reed
1958,61840,European Plaice,Reed
1959,86576,European Plaice,Reed
1960,98944,European Plaice,Reed
1961,111312,European Plaice,Reed
1962,173152,European Plaice,Reed
1963,173152,European Plaice,Reed
1964,160784,European Plaice,Reed
1965,136048,European Plaice,Reed
1966,160784,European Plaice,Reed
1967,210256,European Plaice,Reed
1968,197888,European Plaice,Reed
1969,173152,European Plaice,Reed
1970,123680,European Plaice,Reed
1971,98944,European Plaice,Reed
1972,111312,European Plaice,Reed
1973,49472,European Plaice,Reed
1974,61840,European Plaice,Reed
1975,86576,European Plaice,Reed
1976,98944,European Plaice,Reed
1977,98944,European Plaice,Reed
1978,86576,European Plaice,Reed
1979,86576,European Plaice,Reed
1980,49472,European Plaice,Reed
1981,37104,European Plaice,Reed
1982,37104,European Plaice,Reed
1983,98944,European Plaice,Reed
1984,111312,European Plaice,Reed
1985,136048,European Plaice,Reed
1986,173152,European Plaice,Reed
1987,247360,European Plaice,Reed
1988,197888,European Plaice,Reed
1989,222624,European Plaice,Reed
1990,185520,European Plaice,Reed
1991,136048,European Plaice,Reed
1992,61840,European Plaice,Reed
1993,12368,European Plaice,Reed
1994,0,European Plaice,Reed
1995,0,European Plaice,Reed
1996,0,European Plaice,Reed
1997,0,European Plaice,Reed
1998,0,European Plaice,Reed
1999,0,European Plaice,Reed
2e3,0,European Plaice,Reed
2001,49472,European Plaice,Reed
2002,0,European Plaice,Reed
2003,0,European Plaice,Reed
2004,0,European Plaice,Reed
2005,12368,European Plaice,Reed
2006,37104,European Plaice,Reed
2007,37104,European Plaice,Reed
2008,160784,European Plaice,Reed
2009,185520,European Plaice,Reed
2010,259727.99999999997,European Plaice,Reed
1986,NA,Argentine hake,POMDP
1987,219539.59731543626,Argentine hake,POMDP
1988,103312.75167785234,Argentine hake,POMDP
1989,103312.75167785234,Argentine hake,POMDP
1990,116226.84563758389,Argentine hake,POMDP
1991,142055.033557047,Argentine hake,POMDP
1992,64570.469798657716,Argentine hake,POMDP
1993,0,Argentine hake,POMDP
1994,0,Argentine hake,POMDP
1995,12914.093959731543,Argentine hake,POMDP
1996,0,Argentine hake,POMDP
1999,0,Argentine hake,POMDP
2e3,0,Argentine hake,POMDP
2006,0,Argentine hake,POMDP
2007,0,Argentine hake,POMDP
1957,NA,European Plaice,POMDP
1958,61840,European Plaice,POMDP
1959,98944,European Plaice,POMDP
1960,111312,European Plaice,POMDP
1961,123680,European Plaice,POMDP
1962,173152,European Plaice,POMDP
1963,185520,European Plaice,POMDP
1964,173152,European Plaice,POMDP
1965,160784,European Plaice,POMDP
1966,160784,European Plaice,POMDP
1967,197888,European Plaice,POMDP
1968,197888,European Plaice,POMDP
1969,185520,European Plaice,POMDP
1970,148416,European Plaice,POMDP
1971,111312,European Plaice,POMDP
1972,123680,European Plaice,POMDP
1973,74208,European Plaice,POMDP
1974,74208,European Plaice,POMDP
1975,74208,European Plaice,POMDP
1976,74208,European Plaice,POMDP
1977,86576,European Plaice,POMDP
1978,86576,European Plaice,POMDP
1979,86576,European Plaice,POMDP
1980,37104,European Plaice,POMDP
1981,24736,European Plaice,POMDP
1982,24736,European Plaice,POMDP
1983,61840,European Plaice,POMDP
1984,74208,European Plaice,POMDP
1985,111312,European Plaice,POMDP
1986,136048,European Plaice,POMDP
1987,173152,European Plaice,POMDP
1988,136048,European Plaice,POMDP
1989,148416,European Plaice,POMDP
1990,136048,European Plaice,POMDP
