
Loading the model ...
  input file   : /home/rstudio/projects/boettiger-lab/pomdp-intro/appendix/appendix_alphas/14232ef0c038.pomdpx
  loading time : 4.83s 

SARSOP initializing ...
  initialization time : 6738.93s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 6738.93 0       0        7.40479    12.7986    5.39385     100      1        
 6748.71 0       50       7.57548    12.7372    5.16169     38       31       
 6759.32 1       123      8.58944    12.7349    4.14549     6        42       
 6769.65 1       150      8.58944    12.7349    4.14549     3        51       
 6785.03 2       255      9.0984     12.7346    3.63617     6        61       
 6785.05 2       256      9.0984     12.7346    3.63617     5        61       
 6807.58 2       300      9.0984     12.7346    3.63617     3        75       
 6833.51 3       389      9.48553    12.7342    3.24871     5        86       
 6857.25 3       400      9.48553    12.7342    3.24871     4        96       
 6862.91 3       450      9.48553    12.7342    3.24871     3        98       
 6878.2  4       523      9.72583    12.734     3.0082      7        103      
 6891.02 4       550      9.72583    12.734     3.0082      4        108      
 6912.57 5       659      9.98174    12.7337    2.752       5        115      
 6915.71 5       660      9.98174    12.7337    2.752       5        116      
 6982.34 5       700      9.98174    12.7337    2.752       4        135      
 7022.15 6       795      10.2301    12.7336    2.50348     7        144      
 7038.97 6       800      10.2301    12.7336    2.50348     4        148      
 7116.99 6       850      10.2301    12.7336    2.50348     5        166      
 7159.67 7       933      10.3976    12.7334    2.33586     6        174      
 7213.75 7       950      10.3976    12.7334    2.33586     5        184      
 7407.65 7       1000     10.3976    12.7334    2.33586     7        214      
 7415.02 8       1069     10.5908    12.7333    2.14246     6        215      
 7530.11 8       1100     10.5908    12.7333    2.14246     6        232      
 7663.78 9       1207     10.7313    12.7332    2.00192     6        249      
 7663.86 9       1208     10.7313    12.7332    2.00192     6        249      
 7679.66 9       1250     10.7313    12.7332    2.00192     5        251      
 7830.53 10      1345     10.8468    12.7331    1.88623     6        269      
 7856.22 10      1350     10.8468    12.7331    1.88623     4        272      
 8113.46 10      1400     10.8468    12.7331    1.88623     7        301      
 8250.93 11      1483     10.958     12.733     1.775       6        314      
 8370.23 11      1500     10.958     12.733     1.775       6        326      
 8551.95 11      1550     10.958     12.733     1.775       4        342      
 8564.53 12      1621     11.0456    12.7328    1.68728     7        343      
 8713.27 12      1650     11.0456    12.7328    1.68728     6        359      
 9148.39 13      1761     11.1282    12.7327    1.60456     10       399      
 9148.51 13      1762     11.1282    12.7327    1.60456     9        399      
 9148.86 13      1800     11.1282    12.7327    1.60456     6        399      
 9406.83 14      1899     11.2116    12.7327    1.52113     8        424      
 9416.6  14      1900     11.2116    12.7327    1.52113     7        425      
 9580.51 14      1950     11.2116    12.7327    1.52113     8        442      
 9777.86 15      2039     11.3126    12.7326    1.42002     6        460      
 9810.78 15      2050     11.3126    12.7326    1.42002     4        464      
 9849.89 15      2100     11.3126    12.7326    1.42002     6        468      
 9942.26 16      2181     11.3838    12.7325    1.3487      6        477      
 9980.86 16      2200     11.3838    12.7325    1.3487      6        482      
 10081.1 16      2250     11.3838    12.7325    1.3487      5        492      
 10082   17      2321     11.4462    12.7324    1.28623     11       492      
 10176   17      2350     11.4462    12.7324    1.28623     9        503      
 10355.7 18      2461     11.4975    12.7324    1.23488     9        521      
 10355.8 18      2462     11.4975    12.7324    1.23488     8        521      
 10424.8 18      2500     11.4975    12.7324    1.23488     6        529      
 10732.4 19      2601     11.5511    12.7323    1.18112     8        556      
 10744.6 19      2602     11.5511    12.7323    1.18112     8        557      
 10830.2 19      2650     11.5511    12.7323    1.18112     5        565      
 11013.9 20      2741     11.6075    12.7322    1.12474     8        580      
 11114.8 20      2750     11.6075    12.7322    1.12474     7        588      
 11307.2 20      2800     11.6075    12.7322    1.12474     7        603      
 11466.5 21      2881     11.6514    12.732     1.08061     10       613      
 11530.6 21      2900     11.6514    12.732     1.08061     5        618      
 11875.5 21      2950     11.6514    12.732     1.08061     6        640      
 11876.6 22      3021     11.6981    12.732     1.03387     9        640      
 11877   22      3050     11.6981    12.732     1.03387     6        640      
 12112.4 23      3161     11.7291    12.7319    1.00279     10       656      
 12112.6 23      3162     11.7291    12.7319    1.00279     8        656      
 12322   23      3200     11.7291    12.7319    1.00279     6        669      
 12910.2 24      3301     11.7695    12.7318    0.962308    9        699      
 12929.6 24      3302     11.7695    12.7318    0.962308    9        700      
 12993.2 24      3350     11.7695    12.7318    0.962308    7        704      
 13343.7 25      3443     11.8116    12.7318    0.920134    12       721      
 13492   25      3450     11.8116    12.7318    0.920134    6        728      
 13514.8 25      3500     11.8116    12.7318    0.920134    6        730      
 13781.8 26      3585     11.8429    12.7317    0.888799    9        742      
 13930.6 26      3600     11.8429    12.7317    0.888799    6        750      
 14311.4 26      3650     11.8429    12.7317    0.888799    6        767      
 14432.7 27      3727     11.8685    12.7316    0.863191    10       772      
 14574.1 27      3750     11.8685    12.7316    0.863191    8        779      
 15426.3 28      3867     11.9006    12.7316    0.830971    12       821      
 15446.7 28      3868     11.9006    12.7316    0.830971    11       822      
 15620.7 28      3900     11.9006    12.7316    0.830971    6        832      
 16158.9 29      4009     11.9266    12.7314    0.80476     9        856      
 16159.1 29      4010     11.9266    12.7314    0.80476     10       856      
 16159.7 29      4050     11.9266    12.7314    0.80476     9        856      
 16620.2 30      4149     11.9543    12.7313    0.77707     11       877      
 16620.4 30      4150     11.9543    12.7313    0.77707     11       877      
 16621   30      4200     11.9543    12.7313    0.77707     7        877      
 17053.2 31      4291     11.9741    12.7313    0.757196    12       894      
 17053.6 31      4300     11.9741    12.7313    0.757196    7        894      
 17182.8 31      4350     11.9741    12.7313    0.757196    8        899      
 17452.4 32      4431     11.9922    12.7312    0.739067    16       909      
 17636.6 32      4450     11.9922    12.7312    0.739067    10       916      
 18060.7 32      4500     11.9922    12.7312    0.739067    10       931      
 18062.1 33      4571     12.0102    12.7312    0.721       12       931      
 18604.7 33      4600     12.0102    12.7312    0.721       11       950      
 19221.4 34      4713     12.0276    12.7312    0.703585    12       970      
 19252.9 34      4714     12.0276    12.7312    0.703585    11       971      
 19342.1 34      4750     12.0276    12.7312    0.703585    7        975      
 19940   35      4855     12.0444    12.7311    0.686696    13       993      
 19973.9 35      4856     12.0444    12.7311    0.686696    14       994      
 20718.9 35      4900     12.0444    12.7311    0.686696    12       1017     
-------------------------------------------------------------------------------

SARSOP finishing ...
  Preset timeout reached
  Timeout     : 20000.000000s
  Actual Time : 20718.910000s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 20718.9 35      4900     12.0444    12.7311    0.686696    12       1017     
-------------------------------------------------------------------------------

Writing out policy ...
  output file : appendix_alphas/14232ef0c038.policyx

