
Loading the model ...
  input file   : /home/rstudio/projects/boettiger-lab/pomdp-intro/appendix/appendix_alphas/14233584c0e0.pomdpx
  loading time : 5.20s 

SARSOP initializing ...
  initialization time : 6046.06s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 6046.06 0       0        10.4983    16.8577    6.3594      100      1        
 6047.91 0       50       10.8538    16.7727    5.91892     23       17       
 6049.79 1       119      12.0661    16.7723    4.70618     7        26       
 6050.7  1       150      12.0661    16.7723    4.70618     24       31       
 6053.97 2       241      12.8603    16.7722    3.91185     16       43       
 6054.01 2       250      12.8603    16.7722    3.91185     6        43       
 6054.11 2       300      12.8603    16.7722    3.91185     6        43       
 6055.87 3       373      13.3118    16.7721    3.46038     6        48       
 6059.47 3       400      13.3118    16.7721    3.46038     5        57       
 6065.27 4       499      13.845     16.7721    2.92714     6        66       
 6065.29 4       500      13.845     16.7721    2.92714     6        66       
 6065.43 4       550      13.845     16.7721    2.92714     6        66       
 6069.74 5       631      14.2082    16.7721    2.56391     6        72       
 6076.81 5       650      14.2082    16.7721    2.56391     4        81       
 6085.29 6       767      14.412     16.772     2.36004     6        89       
 6085.31 6       768      14.412     16.772     2.36004     6        89       
 6085.42 6       800      14.412     16.772     2.36004     4        89       
 6089.65 7       903      14.5698    16.7719    2.20217     5        93       
 6089.67 7       904      14.5698    16.7719    2.20217     4        93       
 6097.64 7       950      14.5698    16.7719    2.20217     5        101      
 6112.16 8       1037     14.7978    16.7719    1.97408     7        112      
 6126.46 8       1050     14.7978    16.7719    1.97408     5        122      
 6144.01 8       1100     14.7978    16.7719    1.97408     4        133      
 6151.74 9       1173     14.9542    16.7719    1.81767     6        137      
 6151.85 9       1200     14.9542    16.7719    1.81767     4        137      
 6166.39 10      1311     15.0635    16.7718    1.70827     6        145      
 6166.42 10      1312     15.0635    16.7718    1.70827     6        145      
 6166.57 10      1350     15.0635    16.7718    1.70827     6        145      
 6194.68 11      1447     15.1617    16.7718    1.61013     5        159      
 6194.72 11      1450     15.1617    16.7718    1.61013     5        159      
 6194.9  11      1500     15.1617    16.7718    1.61013     5        159      
 6212.36 12      1585     15.2383    16.7718    1.53345     6        167      
 6225.99 12      1600     15.2383    16.7718    1.53345     6        174      
 6251.17 12      1650     15.2383    16.7718    1.53345     5        184      
 6259.56 13      1723     15.3127    16.7718    1.45904     6        187      
 6259.68 13      1750     15.3127    16.7718    1.45904     5        187      
 6275.48 14      1861     15.3822    16.7717    1.38957     6        193      
 6275.52 14      1862     15.3822    16.7717    1.38957     5        193      
 6275.7  14      1900     15.3822    16.7717    1.38957     5        193      
 6314.88 15      1999     15.4567    16.7717    1.31506     7        207      
 6317.65 15      2000     15.4567    16.7717    1.31506     6        208      
 6350.42 15      2050     15.4567    16.7717    1.31506     7        220      
 6395.35 16      2137     15.5115    16.7717    1.26016     6        233      
 6395.46 16      2150     15.5115    16.7717    1.26016     6        233      
 6412.4  16      2200     15.5115    16.7717    1.26016     6        238      
 6430.41 17      2275     15.5777    16.7716    1.19395     6        243      
 6430.55 17      2300     15.5777    16.7716    1.19395     6        243      
 6463.04 18      2415     15.6277    16.7716    1.14386     7        252      
 6463.1  18      2416     15.6277    16.7716    1.14386     6        252      
 6463.3  18      2450     15.6277    16.7716    1.14386     6        252      
 6482.02 19      2555     15.6783    16.7716    1.09327     7        257      
 6482.08 19      2556     15.6783    16.7716    1.09327     7        257      
 6482.32 19      2600     15.6783    16.7716    1.09327     6        257      
 6557.29 20      2693     15.7242    16.7715    1.0473      9        276      
 6569.16 20      2700     15.7242    16.7715    1.0473      7        279      
 6587.42 20      2750     15.7242    16.7715    1.0473      6        284      
 6639.93 21      2833     15.7734    16.7715    0.998115    9        296      
 6678.5  21      2850     15.7734    16.7715    0.998115    6        305      
 6750.03 21      2900     15.7734    16.7715    0.998115    8        320      
 6760.51 22      2973     15.8198    16.7715    0.951697    7        322      
 6760.7  22      3000     15.8198    16.7715    0.951697    6        322      
 6846.32 23      3113     15.8522    16.7715    0.919326    9        339      
 6846.4  23      3114     15.8522    16.7715    0.919326    8        339      
 6846.64 23      3150     15.8522    16.7715    0.919326    8        339      
 6899    24      3253     15.8798    16.7715    0.891628    9        349      
 6899.08 24      3254     15.8798    16.7715    0.891628    10       349      
 6899.32 24      3300     15.8798    16.7715    0.891628    9        349      
 6963.51 25      3395     15.907     16.7715    0.864466    8        361      
 6963.61 25      3400     15.907     16.7715    0.864466    9        361      
 6963.86 25      3450     15.907     16.7715    0.864466    10       361      
 7013.92 26      3537     15.9366    16.7714    0.834881    9        370      
 7070.49 26      3550     15.9366    16.7714    0.834881    8        381      
 7082.14 26      3600     15.9366    16.7714    0.834881    9        383      
 7124.57 27      3679     15.9616    16.7714    0.80985     9        390      
 7124.75 27      3700     15.9616    16.7714    0.80985     9        390      
 7179.52 28      3750     15.9616    16.7714    0.80985     9        399      
 7180.05 28      3821     15.9837    16.7714    0.787665    9        399      
 7213.54 28      3850     15.9837    16.7714    0.787665    10       405      
 7316.13 29      3963     16.009     16.7714    0.76237     9        421      
 7316.23 29      3964     16.009     16.7714    0.76237     10       421      
 7316.49 29      4000     16.009     16.7714    0.76237     8        421      
 7416.77 30      4105     16.0335    16.7714    0.737898    9        436      
 7416.87 30      4106     16.0335    16.7714    0.737898    9        436      
 7417.13 30      4150     16.0335    16.7714    0.737898    9        436      
 7493.32 31      4247     16.0537    16.7714    0.717613    12       447      
 7514.01 31      4250     16.0537    16.7714    0.717613    10       450      
 7564.27 31      4300     16.0537    16.7714    0.717613    13       458      
 7653.72 32      4389     16.0719    16.7713    0.699466    9        470      
 7696.97 32      4400     16.0719    16.7713    0.699466    10       477      
 7727    32      4450     16.0719    16.7713    0.699466    10       481      
 7796.61 33      4531     16.0895    16.7713    0.681822    10       490      
 7880.66 33      4550     16.0895    16.7713    0.681822    10       502      
 7958.87 33      4600     16.0895    16.7713    0.681822    10       512      
 7967.79 34      4673     16.1071    16.7713    0.664205    16       513      
 8155.62 34      4700     16.1071    16.7713    0.664205    12       536      
 8344.7  35      4815     16.1241    16.7713    0.647221    11       557      
 8353.4  35      4816     16.1241    16.7713    0.647221    12       558      
 8462.63 35      4850     16.1241    16.7713    0.647221    12       571      
 8643.94 36      4957     16.1393    16.7713    0.631941    13       591      
 8644.08 36      4958     16.1393    16.7713    0.631941    13       591      
 8644.46 36      5000     16.1393    16.7713    0.631941    11       591      
 8764.96 37      5099     16.1536    16.7713    0.617656    12       604      
 8765.1  37      5100     16.1536    16.7713    0.617656    13       604      
 8858.65 37      5150     16.1536    16.7713    0.617656    11       615      
 8924.34 38      5241     16.1701    16.7713    0.601179    9        623      
 8976.86 38      5250     16.1701    16.7713    0.601179    11       630      
 9034.54 38      5300     16.1701    16.7713    0.601179    13       638      
 9124.16 39      5383     16.1842    16.7712    0.587033    11       649      
 9157.82 39      5400     16.1842    16.7712    0.587033    12       654      
 9294.23 39      5450     16.1842    16.7712    0.587033    11       672      
 9318.73 40      5525     16.1965    16.7712    0.574687    10       675      
 9319.03 40      5550     16.1965    16.7712    0.574687    11       675      
 9437.52 41      5667     16.2076    16.7712    0.563581    10       691      
 9437.68 41      5668     16.2076    16.7712    0.563581    11       691      
 9585.08 41      5700     16.2076    16.7712    0.563581    11       712      
 9703.47 42      5809     16.2179    16.7712    0.553289    9        730      
 9703.62 42      5810     16.2179    16.7712    0.553289    10       730      
 9703.97 42      5850     16.2179    16.7712    0.553289    9        730      
 9781.75 43      5951     16.227     16.7712    0.544184    12       743      
 9781.91 43      5952     16.227     16.7712    0.544184    13       743      
 9782.26 43      6000     16.227     16.7712    0.544184    9        743      
 9833.7  44      6093     16.2378    16.7712    0.533362    14       751      
 9833.92 44      6100     16.2378    16.7712    0.533362    12       751      
 9846.98 44      6150     16.2378    16.7712    0.533362    14       753      
 9931.65 45      6235     16.2482    16.7712    0.522983    12       766      
 9968.95 45      6250     16.2482    16.7712    0.522983    14       773      
 10006.9 45      6300     16.2482    16.7712    0.522983    12       779      
 10038.6 46      6377     16.2578    16.7711    0.513351    12       784      
 10038.9 46      6400     16.2578    16.7711    0.513351    12       784      
 10162.4 47      6519     16.268     16.7711    0.503151    14       803      
 10162.6 47      6520     16.268     16.7711    0.503151    14       803      
 10162.9 47      6550     16.268     16.7711    0.503151    9        803      
 10274.7 48      6661     16.2763    16.7711    0.494824    14       819      
 10274.9 48      6662     16.2763    16.7711    0.494824    14       819      
 10335.2 48      6700     16.2763    16.7711    0.494824    9        828      
 10463.4 49      6803     16.2856    16.7711    0.48551     10       846      
 10463.6 49      6804     16.2856    16.7711    0.48551     10       846      
 10464   49      6850     16.2856    16.7711    0.48551     11       846      
 10534.3 50      6945     16.2947    16.7711    0.476431    9        855      
 10534.5 50      6950     16.2947    16.7711    0.476431    11       855      
 10534.9 50      7000     16.2947    16.7711    0.476431    11       855      
 10633   51      7087     16.3042    16.7711    0.466915    12       867      
 10633.3 51      7100     16.3042    16.7711    0.466915    10       867      
 10670.8 51      7150     16.3042    16.7711    0.466915    11       873      
 10728.3 52      7229     16.3114    16.7711    0.459733    14       880      
 10728.6 52      7250     16.3114    16.7711    0.459733    10       880      
 10882.3 53      7300     16.3114    16.7711    0.459733    11       900      
 10883.1 53      7371     16.3197    16.7711    0.451335    13       900      
 10883.4 53      7400     16.3197    16.7711    0.451335    11       900      
 10972.1 54      7513     16.3276    16.7711    0.443412    12       910      
 10972.3 54      7514     16.3276    16.7711    0.443412    13       910      
 10972.6 54      7550     16.3276    16.7711    0.443412    12       910      
 11064.6 55      7655     16.3338    16.7711    0.43725     10       920      
 11064.8 55      7656     16.3338    16.7711    0.43725     11       920      
 11065.3 55      7700     16.3338    16.7711    0.43725     11       920      
 11199.1 56      7797     16.341     16.771     0.430061    12       934      
 11199.3 56      7800     16.341     16.771     0.430061    12       934      
 11199.8 56      7850     16.341     16.771     0.430061    13       934      
 11308.4 57      7939     16.3466    16.771     0.424408    12       945      
 11342.5 57      7950     16.3466    16.771     0.424408    12       949      
 11460.9 57      8000     16.3466    16.771     0.424408    16       963      
 11543.5 58      8081     16.3527    16.771     0.418356    14       971      
 11661.1 58      8100     16.3527    16.771     0.418356    11       985      
 11797.1 58      8150     16.3527    16.771     0.418356    12       998      
 11809.1 59      8223     16.358     16.771     0.412971    11       999      
 11863.3 59      8250     16.358     16.771     0.412971    12       1007     
 12003.4 60      8365     16.3631    16.771     0.407851    12       1020     
 12003.6 60      8366     16.3631    16.771     0.407851    13       1020     
 12063.1 60      8400     16.3631    16.771     0.407851    14       1027     
 12294.1 61      8507     16.3691    16.771     0.401905    14       1048     
 12305.7 61      8508     16.3691    16.771     0.401905    14       1049     
 12339.8 61      8550     16.3691    16.771     0.401905    12       1053     
 12461.8 62      8649     16.3748    16.771     0.396218    12       1065     
 12462   62      8650     16.3748    16.771     0.396218    13       1065     
 12462.5 62      8700     16.3748    16.771     0.396218    12       1065     
 12571.3 63      8791     16.3791    16.771     0.391884    11       1074     
 12636.9 63      8800     16.3791    16.771     0.391884    14       1081     
 12735.2 63      8850     16.3791    16.771     0.391884    13       1090     
 12824.5 64      8935     16.3864    16.771     0.384562    15       1097     
 12824.9 64      8950     16.3864    16.771     0.384562    13       1097     
 12875.3 64      9000     16.3864    16.771     0.384562    14       1101     
 12939.5 65      9077     16.3902    16.7709    0.380785    9        1106     
 12987.8 65      9100     16.3902    16.7709    0.380785    9        1111     
