
Loading the model ...
  input file   : /home/rstudio/pomdp-intro/appendix/appendix_alphas/16710055c31.pomdpx
  loading time : 4.92s 

SARSOP initializing ...
  initialization time : 1800.22s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1800.22 0       0        13.6076    18.5252    4.91765     100      1        
 1803.87 1       50       16.7541    18.434     1.67995     40       34       
 1806.5  2       113      16.9706    18.4327    1.46215     60       43       
 1819.61 2       150      16.9706    18.4327    1.46215     92       80       
 1827.95 3       215      17.3704    18.4322    1.06184     50       94       
 1855.62 3       250      17.3704    18.4322    1.06184     26       129      
 1880.55 4       333      17.5368    18.4315    0.894745    19       153      
 1899.38 4       350      17.5368    18.4315    0.894745    20       170      
 1959.51 5       453      17.6694    18.4314    0.762053    26       213      
 1961.02 5       454      17.6694    18.4314    0.762053    26       214      
 2043.81 5       500      17.6694    18.4314    0.762053    15       260      
 2069.58 6       577      17.7888    18.4312    0.642441    15       274      
 2116.18 6       600      17.7888    18.4312    0.642441    18       297      
 2206.18 7       701      17.881     18.431     0.550015    17       336      
 2208.46 7       702      17.881     18.431     0.550015    18       337      
 2337.51 7       750      17.881     18.431     0.550015    23       385      
 2370.53 8       829      17.9466    18.4308    0.484174    19       399      
 2434.87 8       850      17.9466    18.4308    0.484174    18       420      
 2572.35 9       951      17.9919    18.4308    0.438915    23       460      
 2575.86 9       952      17.9919    18.4308    0.438915    23       461      
 2769.56 9       1000     17.9919    18.4308    0.438915    32       509      
 2820.21 10      1083     18.0362    18.4306    0.394315    24       525      
 2889.34 10      1100     18.0362    18.4306    0.394315    22       542      
 3100.18 11      1211     18.06      18.4301    0.370139    28       589      
 3104.53 11      1212     18.06      18.4301    0.370139    28       590      
 3308.52 11      1250     18.06      18.4301    0.370139    31       628      
 3414.78 12      1327     18.0708    18.43      0.359188    25       647      
 3544.2  12      1350     18.0708    18.43      0.359188    26       670      
 3776.39 13      1451     18.0875    18.4299    0.342391    29       709      
 3782.06 13      1452     18.0875    18.4299    0.342391    30       710      
 4140.93 13      1500     18.0875    18.4299    0.342391    28       758      
 4259    14      1579     18.1036    18.4298    0.326152    28       773      
 4453.96 14      1600     18.1036    18.4298    0.326152    29       794      
 4804.37 15      1709     18.1156    18.4297    0.314047    27       838      
 4811.46 15      1710     18.1156    18.4297    0.314047    27       839      
 5674.35 15      1750     18.1156    18.4297    0.314047    36       879      
 5905.58 16      1827     18.1199    18.4296    0.309672    30       897      
