
Loading the model ...
  input file   : /home/rstudio/docs/pomdp-intro/appendix/appendix_alphas_harvestfirst/c63705c772.pomdpx
  loading time : 4.51s 

SARSOP initializing ...
  initialization time : 1651.22s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1651.22 0       0        12.3706    18.7959    6.42535     100      1        
 1654.7  1       50       16.7554    18.3686    1.61328     47       44       
 1656.59 2       103      17.1178    18.3681    1.2502      68       53       
 1664.34 3       175      17.4039    18.3674    0.963491    53       89       
 1673.67 3       200      17.4039    18.3674    0.963491    40       114      
 1680.18 4       250      17.6029    18.3672    0.764279    24       128      
 1696.91 5       323      17.7263    18.3668    0.640492    26       162      
 1703.47 5       350      17.7263    18.3668    0.640492    28       186      
 1707.71 6       400      17.8667    18.3667    0.500007    26       198      
 1721.63 7       481      17.9711    18.3666    0.395516    23       237      
 1729.85 7       500      17.9711    18.3666    0.395516    23       256      
 1745.73 8       581      17.9994    18.3663    0.366898    24       286      
 1755.94 8       600      17.9994    18.3663    0.366898    17       305      
 1772.72 9       671      18.0556    18.3663    0.310681    16       330      
 1793.14 9       700      18.0556    18.3663    0.310681    19       359      
 1812.5  10      771      18.0744    18.3663    0.291905    18       380      
 1837.45 10      800      18.0744    18.3663    0.291905    18       409      
 1860.44 11      871      18.0958    18.3661    0.270346    15       430      
 1888.47 11      900      18.0958    18.3661    0.270346    14       459      
 1913.07 12      969      18.1207    18.366     0.245256    11       479      
 1942.84 12      1000     18.1207    18.366     0.245256    14       510      
 1968.4  13      1073     18.1308    18.3657    0.234848    16       530      
 1994.01 13      1100     18.1308    18.3657    0.234848    13       557      
 2023.14 14      1175     18.1493    18.3656    0.216363    14       580      
 2047.84 14      1200     18.1493    18.3656    0.216363    18       605      
 2084.09 15      1283     18.1578    18.3656    0.207829    16       633      
 2101.36 15      1300     18.1578    18.3656    0.207829    18       650      
 2148.48 16      1387     18.1693    18.3656    0.196316    21       685      
 2161.9  16      1400     18.1693    18.3656    0.196316    22       698      
 2217.83 17      1495     18.1756    18.3655    0.189876    17       738      
 2222.97 17      1500     18.1756    18.3655    0.189876    20       743      
 2283.9  18      1550     18.1756    18.3655    0.189876    16       792      
 2284.72 18      1605     18.1812    18.3655    0.184291    21       792      
 2342.62 18      1650     18.1812    18.3655    0.184291    21       837      
 2357.63 19      1715     18.1876    18.3655    0.177833    20       846      
 2405.01 19      1750     18.1876    18.3655    0.177833    23       881      
 2437.99 20      1827     18.1914    18.3654    0.174093    26       901      
 2469.9  20      1850     18.1914    18.3654    0.174093    21       924      
 2524.65 21      1939     18.1959    18.3654    0.169493    22       956      
 2539.54 21      1950     18.1959    18.3654    0.169493    29       967      
 2612.15 22      2051     18.1989    18.3654    0.166502    25       1012     
 2613.51 22      2052     18.1989    18.3654    0.166502    24       1013     
