id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,model,r,K,sigma_g,sigma_m,noise,scenario
f27859c20b8c0d73dc77163c25e12c17,3.6,1.24,15000,2.79364e-05,  Preset timeout reached,100,100,100,0.95,2018-11-30 11:08:01,gs,0.75,1,0.02,0,normal,1
f27859c20b8c0d73dc77163c25e12c17,4.01,3.4,15000.1,7.48622e-05,  Preset timeout reached,100,100,100,0.95,2018-11-30 11:09:28,gs,0.75,1,0.1,0,normal,2
f27859c20b8c0d73dc77163c25e12c17,4.19,4.62,15000.1,4.59653e-05,  Preset timeout reached,100,100,100,0.95,2018-11-30 11:09:31,gs,0.75,1,0.15,0,normal,3
ff4e0d39dd2ae26eae45c1b03a9b061e,4.03,1.38,15000,2.79364e-05,  Preset timeout reached,100,100,100,0.95,2019-06-10 08:44:59,gs,0.75,1,0.02,0,normal,1
50943e420f08c2ee626d4aec6949aad1,4.67,5,15000,4.59653e-05,  Preset timeout reached,100,100,100,0.95,2019-06-10 08:46:22,gs,0.75,1,0.15,0,normal,3
6d51a493b6fadcc19bdd310a7372f5d1,4.44,3.76,15000,7.48622e-05,  Preset timeout reached,100,100,100,0.95,2019-06-10 08:46:25,gs,0.75,1,0.1,0,normal,2
2434d1a9c61c10090e06ac2a6548612e,5.83,1648.79,15195.5,0.0172207,  Preset timeout reached,100,100,100,0.95,2019-06-10 08:58:17,gs,0.75,1,0.15,0.1,normal,6
0b5c68b7134afe0ae438824ad37d0292,5.39,410.68,15406.2,0.052506,  Preset timeout reached,100,100,100,0.95,2019-06-10 09:00:08,gs,0.75,1,0.02,0.15,normal,7
cfa85b3302e4726205b6cc1bc695ee10,5.7,1238.57,15400.5,0.0195831,  Preset timeout reached,100,100,100,0.95,2019-06-10 09:01:45,gs,0.75,1,0.1,0.1,normal,5
3db3ecc8830d87e0f4469a67e47a4a37,5.36,367.65,15227.1,0.0261569,  Preset timeout reached,100,100,100,0.95,2019-06-11 07:49:07,gs,0.75,1,0.02,0.1,normal,4
e295b4a5f659ee1856b1198217689114,2.15,1.6,15000,2.79364e-05,  Preset timeout reached,100,100,100,0.95,2020-06-26 09:44:17,gs,0.75,1,0.02,0,normal,1
17e46780a9255acd02d317e1e9d42787,2.34,5.32,15000.1,7.48622e-05,  Preset timeout reached,100,100,100,0.95,2020-06-26 09:44:44,gs,0.75,1,0.1,0,normal,2
4d369d534dbdcd6cde642aecb4bbc47d,2.42,7.34,15000.1,4.59653e-05,  Preset timeout reached,100,100,100,0.95,2020-06-26 09:44:46,gs,0.75,1,0.15,0,normal,3
3725732eaf3d7c36d380c15ba9f63f6a,2.79,455.68,15168.8,0.0258481,  Preset timeout reached,100,100,100,0.95,2020-06-26 09:52:21,gs,0.75,1,0.02,0.1,normal,4
34f4dc82d07faa9cf1ff8d7bb660ad3c,3.03,2491.21,15165.7,0.0595409,  Preset timeout reached,100,100,100,0.95,2020-06-26 09:52:52,gs,0.75,1,0.15,0.15,normal,9
80482da84e3a2850840e525b98f0a516,2.95,1741.93,15174.8,0.0178336,  Preset timeout reached,100,100,100,0.95,2020-06-26 09:53:04,gs,0.75,1,0.1,0.1,normal,5
ae21d46583b6e8713485d4f3967d4f75,2.91,2431.3,15234.2,0.0138554,  Preset timeout reached,100,100,100,0.95,2020-06-26 09:54:01,gs,0.75,1,0.15,0.1,normal,6
187f76eda89296ae43caf96c8aa5e51a,2.82,466.9,15306,0.050797,  Preset timeout reached,100,100,100,0.95,2020-06-26 09:54:35,gs,0.75,1,0.02,0.15,normal,7
2e4b2e31f0a4c26b415d67fbd00bc400,2.9,1783.88,15392.2,0.0662396,  Preset timeout reached,100,100,100,0.95,2020-06-26 09:56:44,gs,0.75,1,0.1,0.15,normal,8
