scenario,time,state,obs,action,value,rep,method
1,1,9,9,1,0,1,POMDP
1,2,14,14,1,0,1,POMDP
1,3,21,21,1,0,1,POMDP
1,4,29,29,6,0.08227335858585859,1,POMDP
1,5,33,33,10,0.14068744318181814,1,POMDP
1,6,34,34,11,0.14850341224747474,1,POMDP
1,7,33,33,10,0.12697041747159085,1,POMDP
1,8,33,33,10,0.12062189659801133,1,POMDP
1,9,33,33,10,0.11459080176811075,1,POMDP
1,10,32,32,9,0.09676556593751576,1,POMDP
1,11,33,33,10,0.10341819859571995,1,POMDP
1,12,33,33,10,0.09824728866593394,1,POMDP
1,13,33,33,10,0.09333492423263724,1,POMDP
1,14,33,33,10,0.08866817802100538,1,POMDP
1,15,32,32,9,0.07487535032884898,1,POMDP
1,16,33,33,10,0.08002303066395734,1,POMDP
1,17,32,32,9,0.0675750036717862,1,POMDP
1,18,34,34,11,0.08024531686024611,1,POMDP
1,19,33,33,10,0.06860974591551042,1,POMDP
1,20,34,34,11,0.0724213984663721,1,POMDP
1,21,32,32,9,0.055040262834442806,1,POMDP
1,22,33,33,10,0.05882428090431073,1,POMDP
1,23,32,32,9,0.049673837208084624,1,POMDP
1,24,34,34,11,0.05898768168460049,1,POMDP
1,25,32,32,9,0.04483063808029637,1,POMDP
1,26,31,31,8,0.037265467904246355,1,POMDP
1,27,33,33,10,0.045517107225900896,1,POMDP
1,28,33,33,10,0.04324125186460585,1,POMDP
1,29,33,33,10,0.041079189271375556,1,POMDP
1,30,32,32,9,0.03468909316249492,1,POMDP
1,31,32,32,9,0.032954638504370165,1,POMDP
1,32,33,33,10,0.035220269901545614,1,POMDP
1,33,35,35,12,0.04089464671901685,1,POMDP
1,34,34,34,11,0.03531810398460546,1,POMDP
1,35,32,32,9,0.02684175902830015,1,POMDP
1,36,33,33,10,0.02868712996149578,1,POMDP
1,37,34,34,11,0.030280859403801104,1,POMDP
1,38,32,32,9,0.023013453146888838,1,POMDP
1,39,34,34,11,0.027328475611930494,1,POMDP
1,40,34,34,11,0.025962051831333967,1,POMDP
1,41,32,32,9,0.019731159391813812,1,POMDP
1,42,33,33,10,0.02108767660000101,1,POMDP
1,43,33,33,10,0.02003329277000096,1,POMDP
1,44,32,32,9,0.016917002783556366,1,POMDP
1,45,35,35,12,0.0220978348860205,1,POMDP
1,46,33,33,10,0.01717604438867957,1,POMDP
1,47,33,33,10,0.016317242169245592,1,POMDP
1,48,34,34,11,0.017223755623092567,1,POMDP
1,49,32,32,9,0.013090054273550353,1,POMDP
1,50,34,34,11,0.015544439449841043,1,POMDP
1,51,31,31,8,0.010337052234144294,1,POMDP
1,52,34,34,11,0.014028856603481538,1,POMDP
1,53,33,33,10,0.011994672395976716,1,POMDP
1,54,34,34,11,0.012661043084642089,1,POMDP
1,55,34,34,11,0.012027990930409984,1,POMDP
1,56,33,33,10,0.010283932245500534,1,POMDP
1,57,31,31,8,0.007598683270286506,1,POMDP
1,58,33,33,10,0.009281248851564231,1,POMDP
1,59,33,33,10,0.00881718640898602,1,POMDP
1,60,35,35,12,0.010237733108211544,1,POMDP
1,61,32,32,9,0.00707334287476434,1,POMDP
1,62,34,34,11,0.008399594663782654,1,POMDP
1,63,33,33,10,0.0071816534375341665,1,POMDP
1,64,32,32,9,0.0060645073472510745,1,POMDP
1,65,32,32,9,0.005761281979888521,1,POMDP
1,66,33,33,10,0.006157370116005856,1,POMDP
1,67,32,32,9,0.005199556986849389,1,POMDP
1,68,33,33,10,0.005557026529695285,1,POMDP
1,69,33,33,10,0.00527917520321052,1,POMDP
1,70,33,33,10,0.005015216443049994,1,POMDP
1,71,33,33,10,0.004764455620897494,1,POMDP
1,72,34,34,11,0.0050291475998362435,1,POMDP
1,73,32,32,9,0.003822152175875545,1,POMDP
1,74,34,34,11,0.0045388057088522095,1,POMDP
1,75,32,32,9,0.003449492338727679,1,POMDP
1,76,34,34,11,0.004096272152239119,1,POMDP
1,77,32,32,9,0.0031131668357017297,1,POMDP
1,78,33,33,10,0.0033271970556562236,1,POMDP
1,79,34,34,11,0.003512041336526014,1,POMDP
1,80,33,33,10,0.0030027953427297417,1,POMDP
1,81,33,33,10,0.0028526555755932544,1,POMDP
1,82,35,35,12,0.0033122500849943897,1,POMDP
1,83,32,32,9,0.0022884636950870328,1,POMDP
1,84,33,33,10,0.002445795574124266,1,POMDP
1,85,33,33,10,0.0023235057954180526,1,POMDP
1,86,33,33,10,0.00220733050564715,1,POMDP
1,87,34,34,11,0.0023299599781831026,1,POMDP
1,88,32,32,9,0.001770769583419158,1,POMDP
1,89,34,34,11,0.00210278888031025,1,POMDP
1,90,31,31,8,0.0013983546054063163,1,POMDP
