time,method,mean,sd
1,CE,0.16161616161616163,0
1,MSY,0.16161616161616163,0
1,TAC,0.16161616161616163,0
2,CE,0.2573737373737374,0.13631151531809846
2,MSY,0.21373737373737375,0.12631440627880156
2,TAC,0.22525252525252526,0.1519227249522425
3,CE,0.39313131313131316,0.20508681561271916
3,MSY,0.23434343434343435,0.18121634001220255
3,TAC,0.2662626262626263,0.20732510421852868
4,CE,0.4874747474747475,0.2605326516499664
4,MSY,0.27111111111111114,0.22872528369346243
4,TAC,0.29454545454545455,0.24979740817125945
5,CE,0.5143434343434344,0.2669840088306954
5,MSY,0.29515151515151516,0.27100652421804905
5,TAC,0.34101010101010104,0.29358865238551046
6,CE,0.5333333333333333,0.2701396743388598
6,MSY,0.30323232323232324,0.2972200171176714
6,TAC,0.3678787878787879,0.3141554717138812
7,CE,0.5404040404040404,0.27037420124822753
7,MSY,0.3115151515151515,0.2904248937828926
7,TAC,0.4232323232323233,0.35988009946024413
8,CE,0.5587878787878788,0.2762393699990136
8,MSY,0.32141414141414143,0.2977549176594841
8,TAC,0.4,0.3367737905797041
9,CE,0.5347474747474747,0.25544811874919887
9,MSY,0.3286868686868687,0.3112493514728822
9,TAC,0.4133333333333334,0.3389507895376027
10,CE,0.5432323232323233,0.2588219352678901
10,MSY,0.31373737373737376,0.3131718593639745
10,TAC,0.4505050505050505,0.36839498812127114
11,CE,0.5587878787878788,0.2769101103105809
11,MSY,0.30505050505050507,0.3198411538565067
11,TAC,0.454949494949495,0.3688197498257032
12,CE,0.5246464646464647,0.2604345298001345
12,MSY,0.31797979797979803,0.3288791018464289
12,TAC,0.4468686868686869,0.3655052926104188
13,CE,0.5373737373737374,0.26033233299757685
13,MSY,0.3197979797979798,0.3284832019383917
13,TAC,0.46202020202020205,0.3847411504979437
14,CE,0.5408080808080808,0.2655043105070117
14,MSY,0.3303030303030303,0.3495600541635089
14,TAC,0.46,0.3879444112599548
15,CE,0.5614141414141415,0.26362574991506216
15,MSY,0.33333333333333337,0.3598127948119203
15,TAC,0.4543434343434344,0.3788221730555856
16,CE,0.5492929292929294,0.2598520011057819
16,MSY,0.3355555555555556,0.3487751593268756
16,TAC,0.4694949494949495,0.38451033714254373
17,CE,0.5711111111111111,0.2729913658212103
17,MSY,0.337979797979798,0.358048128798036
17,TAC,0.47090909090909094,0.3874961445430432
18,CE,0.5466666666666667,0.2638215365650087
18,MSY,0.33656565656565657,0.35508102940687114
18,TAC,0.4664646464646465,0.3919326029027749
19,CE,0.5317171717171718,0.2601561848675291
