scenario,time,state,obs,action,value,rep,method
1,1,9,9,1,0,1,POMDP
1,2,14,14,1,0,1,POMDP
1,3,20,20,1,0,1,POMDP
1,4,30,30,7,0.09872803030303029,1,POMDP
1,5,35,35,12,0.17195131944444442,1,POMDP
1,6,34,34,11,0.14850341224747474,1,POMDP
1,7,34,34,11,0.14107824163510096,1,POMDP
1,8,35,35,12,0.1474267625086805,1,POMDP
1,9,33,33,10,0.11459080176811075,1,POMDP
1,10,34,34,11,0.12095695742189469,1,POMDP
1,11,34,34,11,0.11490910955079994,1,POMDP
1,12,32,32,9,0.08733092325860795,1,POMDP
1,13,32,32,9,0.08296437709567756,1,POMDP
1,14,34,34,11,0.0985201978011171,1,POMDP
1,15,33,33,10,0.0842347691199551,1,POMDP
1,16,31,31,8,0.06224013496085572,1,POMDP
1,17,33,33,10,0.07602187913075947,1,POMDP
1,18,32,32,9,0.06419625348819688,1,POMDP
1,19,32,32,9,0.060986440813787034,1,POMDP
1,20,32,32,9,0.057937118773097686,1,POMDP
1,21,33,33,10,0.06192029568874815,1,POMDP
1,22,35,35,12,0.0718963433274909,1,POMDP
1,23,33,33,10,0.0558830668590952,1,POMDP
1,24,35,35,12,0.06488644985306054,1,POMDP
1,25,34,34,11,0.05603829760037046,1,POMDP
1,26,35,35,12,0.05856002099238712,1,POMDP
1,27,35,35,12,0.055632019942767764,1,POMDP
1,28,30,30,7,0.028827501243070566,1,POMDP
1,29,33,33,10,0.041079189271375556,1,POMDP
1,30,34,34,11,0.043361366453118645,1,POMDP
1,31,33,33,10,0.03707396831741643,1,POMDP
1,32,33,33,10,0.035220269901545614,1,POMDP
1,33,34,34,11,0.037176951562742595,1,POMDP
1,34,33,33,10,0.03178629358614491,1,POMDP
1,35,34,34,11,0.03355219878537519,1,POMDP
1,36,36,36,13,0.03824950661532771,1,POMDP
1,37,34,34,11,0.030280859403801104,1,POMDP
1,38,32,32,9,0.023013453146888838,1,POMDP
1,39,34,34,11,0.027328475611930494,1,POMDP
1,40,33,33,10,0.02336584664820057,1,POMDP
1,41,33,33,10,0.022197554315790537,1,POMDP
1,42,33,33,10,0.02108767660000101,1,POMDP
1,43,33,33,10,0.02003329277000096,1,POMDP
1,44,34,34,11,0.02114625347944546,1,POMDP
1,45,35,35,12,0.0220978348860205,1,POMDP
1,46,32,32,9,0.015267595012159619,1,POMDP
1,47,33,33,10,0.016317242169245592,1,POMDP
1,48,33,33,10,0.01550138006078331,1,POMDP
1,49,34,34,11,0.01636256784193794,1,POMDP
1,50,33,33,10,0.013989995504856937,1,POMDP
1,51,34,34,11,0.01476721747734899,1,POMDP
1,52,34,34,11,0.014028856603481538,1,POMDP
1,53,32,32,9,0.01066193101864597,1,POMDP
1,54,33,33,10,0.011394938776177877,1,POMDP
1,55,34,34,11,0.012027990930409984,1,POMDP
1,56,32,32,9,0.009141273107111585,1,POMDP
1,57,32,32,9,0.008684209451756006,1,POMDP
1,58,33,33,10,0.009281248851564231,1,POMDP
1,59,35,35,12,0.010776561166538468,1,POMDP
1,60,33,33,10,0.008376327088536717,1,POMDP
1,61,34,34,11,0.008841678593455424,1,POMDP
1,62,35,35,12,0.009239554130160919,1,POMDP
1,63,33,33,10,0.0071816534375341665,1,POMDP
1,64,33,33,10,0.0068225707656574585,1,POMDP
1,65,33,33,10,0.006481442227374586,1,POMDP
1,66,33,33,10,0.006157370116005856,1,POMDP
1,67,34,34,11,0.006499446233561737,1,POMDP
1,68,33,33,10,0.005557026529695285,1,POMDP
1,69,32,32,9,0.004692600180631574,1,POMDP
1,70,33,33,10,0.005015216443049994,1,POMDP
1,71,33,33,10,0.004764455620897494,1,POMDP
1,72,32,32,9,0.004023318079868995,1,POMDP
1,73,35,35,12,0.005255459241828874,1,POMDP
1,74,32,32,9,0.0036310445670817678,1,POMDP
1,75,31,31,8,0.003018305796386719,1,POMDP
1,76,35,35,12,0.00450589936746303,1,POMDP
1,77,32,32,9,0.0031131668357017297,1,POMDP
1,78,33,33,10,0.0033271970556562236,1,POMDP
1,79,32,32,9,0.002809633069220811,1,POMDP
1,80,34,34,11,0.0033364392696997136,1,POMDP
1,81,33,33,10,0.0028526555755932544,1,POMDP
1,82,33,33,10,0.0027100227968135915,1,POMDP
1,83,34,34,11,0.0028605796188587913,1,POMDP
1,84,33,33,10,0.002445795574124266,1,POMDP
1,85,31,31,8,0.0018071711742140412,1,POMDP
1,86,33,33,10,0.00220733050564715,1,POMDP
1,87,33,33,10,0.0020969639803647923,1,POMDP
1,88,32,32,9,0.001770769583419158,1,POMDP
1,89,32,32,9,0.0016822311042482,1,POMDP
1,90,33,33,10,0.0017978844926652636,1,POMDP
