year,stock,commonname,model
1986,NA,Argentine hake,CE
1987,232453.69127516777,Argentine hake,CE
1988,64570.469798657716,Argentine hake,CE
1989,103312.75167785234,Argentine hake,CE
1990,129140.93959731543,Argentine hake,CE
1991,154969.1275167785,Argentine hake,CE
1992,90398.65771812081,Argentine hake,CE
1993,0,Argentine hake,CE
1994,12914.093959731543,Argentine hake,CE
1995,64570.469798657716,Argentine hake,CE
1996,51656.37583892617,Argentine hake,CE
1999,0,Argentine hake,CE
2e3,0,Argentine hake,CE
2006,0,Argentine hake,CE
2007,0,Argentine hake,CE
1957,NA,European Plaice,CE
1958,61840,European Plaice,CE
1959,86576,European Plaice,CE
1960,98944,European Plaice,CE
1961,111312,European Plaice,CE
1962,173152,European Plaice,CE
1963,173152,European Plaice,CE
1964,160784,European Plaice,CE
1965,136048,European Plaice,CE
1966,160784,European Plaice,CE
1967,210256,European Plaice,CE
1968,197888,European Plaice,CE
1969,173152,European Plaice,CE
1970,123680,European Plaice,CE
1971,98944,European Plaice,CE
1972,111312,European Plaice,CE
1973,49472,European Plaice,CE
1974,61840,European Plaice,CE
1975,86576,European Plaice,CE
1976,98944,European Plaice,CE
1977,98944,European Plaice,CE
1978,86576,European Plaice,CE
1979,86576,European Plaice,CE
1980,49472,European Plaice,CE
1981,37104,European Plaice,CE
1982,37104,European Plaice,CE
1983,98944,European Plaice,CE
1984,111312,European Plaice,CE
1985,136048,European Plaice,CE
1986,173152,European Plaice,CE
1987,247360,European Plaice,CE
1988,197888,European Plaice,CE
1989,222624,European Plaice,CE
1990,185520,European Plaice,CE
1991,136048,European Plaice,CE
1992,61840,European Plaice,CE
1993,12368,European Plaice,CE
1994,0,European Plaice,CE
1995,0,European Plaice,CE
1996,0,European Plaice,CE
1997,0,European Plaice,CE
1998,0,European Plaice,CE
1999,0,European Plaice,CE
2e3,0,European Plaice,CE
2001,49472,European Plaice,CE
2002,0,European Plaice,CE
2003,0,European Plaice,CE
2004,0,European Plaice,CE
2005,12368,European Plaice,CE
2006,37104,European Plaice,CE
2007,37104,European Plaice,CE
2008,160784,European Plaice,CE
2009,185520,European Plaice,CE
2010,259727.99999999997,European Plaice,CE
1986,NA,Argentine hake,POMDP
1987,219539.59731543626,Argentine hake,POMDP
1988,103312.75167785234,Argentine hake,POMDP
1989,103312.75167785234,Argentine hake,POMDP
1990,116226.84563758389,Argentine hake,POMDP
1991,142055.033557047,Argentine hake,POMDP
1992,64570.469798657716,Argentine hake,POMDP
1993,0,Argentine hake,POMDP
1994,0,Argentine hake,POMDP
1995,12914.093959731543,Argentine hake,POMDP
1996,0,Argentine hake,POMDP
1999,0,Argentine hake,POMDP
2e3,0,Argentine hake,POMDP
2006,0,Argentine hake,POMDP
2007,0,Argentine hake,POMDP
1957,NA,European Plaice,POMDP
1958,61840,European Plaice,POMDP
1959,98944,European Plaice,POMDP
1960,111312,European Plaice,POMDP
1961,123680,European Plaice,POMDP
1962,173152,European Plaice,POMDP
1963,185520,European Plaice,POMDP
